ID,Category,Problem,Skin_or_Hair_Type,Symptoms,Ingredients,Preparation,Usage,Frequency,Precautions,Ingredients_list,clean_Ingredients
241,Skincare,Dark Circles,Sensitive,Uneven Tone; Inflammation,coconut oil; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,['coconut oil egg yolk'],coconut oil egg yolk
242,Haircare,Hair Fall,Curly,Roughness; Dark Spots,neem powder; lemon juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,['neem powder lemon juice'],neem powder lemon juice
243,Haircare,Oily Scalp,Curly,Redness; Scalp Irritation,potato juice; turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs,['potato juice turmeric'],potato juice turmeric
244,Skincare,Dry Skin,Normal,Dry Texture; Uneven Tone,turmeric; aloe vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs,['turmeric aloe vera'],turmeric aloe vera
245,Haircare,Hair Thinning,Normal,Inflammation; Dull Appearance,rose water; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,['rose water onion juice'],rose water onion juice
246,Skincare,Sun Tan,Normal,Redness; Excess Oil,green tea; gram flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition,['green tea gram flour'],green tea gram flour
247,Skincare,Dull Skin,Oily,Redness; Excess Oil,onion juice; olive oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,['onion juice olive oil'],onion juice olive oil
248,Haircare,Hair Thinning,All,Roughness; Dry Texture,olive oil; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,['olive oil onion juice'],olive oil onion juice
249,Haircare,Hair Thinning,Curly,Breakage; Scalp Irritation,coconut oil; green tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,['coconut oil green tea'],coconut oil green tea
250,Haircare,Dry Hair,Dry,Itching; Dark Spots,banana; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use,['banana egg yolk'],banana egg yolk
251,Skincare,Sensitive Skin,Combination,Itching; Flaky Skin,onion juice; aloe vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,['onion juice aloe vera'],onion juice aloe vera
252,Haircare,Dry Hair,Normal,Dark Spots; Roughness,rose water; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,['rose water egg yolk'],rose water egg yolk
253,Haircare,Oily Scalp,Straight,Uneven Tone; Inflammation,yogurt; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,['yogurt onion juice'],yogurt onion juice
254,Haircare,Split Ends,Curly,Uneven Tone; Inflammation,coconut oil; aloe vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,['coconut oil aloe vera'],coconut oil aloe vera
255,Haircare,Split Ends,Oily,Dry Texture; Inflammation,gram flour; castor oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs,['gram flour castor oil'],gram flour castor oil
256,Skincare,Pigmentation,All,Roughness; Redness,onion juice; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,['onion juice curd'],onion juice curd
257,Skincare,Acne,Dry,Dull Appearance; Breakage,multani mitti; honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,['multani mitti honey'],multani mitti honey
258,Haircare,Hair Growth,Oily,Dark Spots; Redness,fenugreek seeds; green tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['fenugreek seeds green tea'],fenugreek seeds green tea
259,Haircare,Frizzy Hair,Normal,Excess Oil; Scalp Irritation,coconut oil; potato juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,['coconut oil potato juice'],coconut oil potato juice
260,Skincare,Wrinkles,Normal,Dull Appearance; Excess Oil,fenugreek seeds; olive oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,['fenugreek seeds olive oil'],fenugreek seeds olive oil
261,Haircare,Hair Fall,Oily,Flaky Skin; Dull Appearance,neem powder; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds,['neem powder egg yolk'],neem powder egg yolk
262,Haircare,Premature Greying,Straight,Scalp Irritation; Uneven Tone,banana; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,['banana curd'],banana curd
263,Haircare,Oily Scalp,Normal,Breakage; Scalp Irritation,turmeric; castor oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs,['turmeric castor oil'],turmeric castor oil
264,Skincare,Sun Tan,Normal,Inflammation; Excess Oil,aloe vera; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use,['aloe vera egg yolk'],aloe vera egg yolk
265,Skincare,Open Pores,Combination,Dry Texture; Dull Appearance,yogurt; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application,['yogurt banana'],yogurt banana
266,Haircare,Hair Thinning,Dry,Excess Oil; Dark Spots,yogurt; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,['yogurt curd'],yogurt curd
267,Skincare,Open Pores,All,Redness; Roughness,turmeric; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,['turmeric egg yolk'],turmeric egg yolk
268,Skincare,Sensitive Skin,All,Dry Texture; Breakage,papaya; yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs,['papaya yogurt'],papaya yogurt
269,Haircare,Hair Thinning,Oily,Dull Appearance; Roughness,turmeric; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,['turmeric curd'],turmeric curd
270,Haircare,Hair Growth,Curly,Scalp Irritation; Breakage,egg yolk; papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,['egg yolk papaya'],egg yolk papaya
271,Skincare,Pigmentation,Oily,Redness; Itching,onion juice; rose water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,['onion juice rose water'],onion juice rose water
272,Haircare,Split Ends,Oily,Hair Shedding; Scalp Irritation,potato juice; honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,['potato juice honey'],potato juice honey
273,Haircare,Premature Greying,Normal,Flaky Skin; Hair Shedding,egg yolk; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition,['egg yolk banana'],egg yolk banana
274,Skincare,Wrinkles,Combination,Itching; Redness,neem powder; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use,['neem powder egg yolk'],neem powder egg yolk
275,Haircare,Hair Growth,Oily,Breakage; Inflammation,neem powder; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,['neem powder onion juice'],neem powder onion juice
276,Skincare,Rashes,Normal,Hair Shedding; Dull Appearance,onion juice; rose water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs,['onion juice rose water'],onion juice rose water
277,Skincare,Sun Tan,Combination,Hair Shedding; Roughness,turmeric; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,['turmeric curd'],turmeric curd
278,Haircare,Hair Growth,Normal,Uneven Tone; Dull Appearance,multani mitti; fenugreek seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,['multani mitti fenugreek seeds'],multani mitti fenugreek seeds
279,Haircare,Itchy Scalp,Curly,Redness; Breakage,aloe vera; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,['aloe vera curd'],aloe vera curd
280,Haircare,Hair Growth,Normal,Itching; Uneven Tone,castor oil; papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,['castor oil papaya'],castor oil papaya
281,Skincare,Rashes,Oily,Excess Oil; Scalp Irritation,onion juice; neem powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application,['onion juice neem powder'],onion juice neem powder
282,Skincare,Dull Skin,Combination,Roughness; Dark Spots,banana; neem powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,['banana neem powder'],banana neem powder
283,Skincare,Dull Skin,Normal,Dark Spots; Uneven Tone,onion juice; turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds,['onion juice turmeric'],onion juice turmeric
284,Skincare,Pigmentation,All,Excess Oil; Dull Appearance,papaya; multani mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,['papaya multani mitti'],papaya multani mitti
285,Skincare,Dark Circles,Dry,Hair Shedding; Dark Spots,multani mitti; coconut oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,['multani mitti coconut oil'],multani mitti coconut oil
286,Skincare,Sensitive Skin,All,Hair Shedding; Dull Appearance,olive oil; gram flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['olive oil gram flour'],olive oil gram flour
287,Haircare,Frizzy Hair,All,Hair Shedding; Roughness,coconut oil; aloe vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,['coconut oil aloe vera'],coconut oil aloe vera
288,Haircare,Hair Thinning,Oily,Hair Shedding; Dry Texture,honey; multani mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,['honey multani mitti'],honey multani mitti
289,Haircare,Hair Growth,Dry,Excess Oil; Dull Appearance,onion juice; papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use,['onion juice papaya'],onion juice papaya
290,Haircare,Dry Hair,Normal,Itching; Redness,gram flour; fenugreek seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs,['gram flour fenugreek seeds'],gram flour fenugreek seeds
291,Haircare,Hair Thinning,Curly,Itching; Flaky Skin,olive oil; castor oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application,['olive oil castor oil'],olive oil castor oil
292,Skincare,Dark Circles,Oily,Inflammation; Dark Spots,lemon juice; potato juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,['lemon juice potato juice'],lemon juice potato juice
293,Skincare,Sun Tan,Dry,Flaky Skin; Breakage,fenugreek seeds; neem powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds,['fenugreek seeds neem powder'],fenugreek seeds neem powder
294,Haircare,Hair Growth,Straight,Inflammation; Dull Appearance,egg yolk; neem powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application,['egg yolk neem powder'],egg yolk neem powder
295,Skincare,Dark Circles,All,Itching; Scalp Irritation,green tea; castor oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application,['green tea castor oil'],green tea castor oil
296,Haircare,Hair Growth,Dry,Uneven Tone; Dark Spots,curd; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,['curd egg yolk'],curd egg yolk
297,Haircare,Hair Thinning,Normal,Dull Appearance; Excess Oil,banana; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,['banana curd'],banana curd
298,Haircare,Premature Greying,Normal,Redness; Excess Oil,honey; gram flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application,['honey gram flour'],honey gram flour
299,Haircare,Dandruff,Curly,Dark Spots; Roughness,papaya; honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['papaya honey'],papaya honey
300,Haircare,Hair Growth,Straight,Redness; Dull Appearance,multani mitti; rose water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds,['multani mitti rose water'],multani mitti rose water
301,Haircare,Hair Growth,All,Excess Oil; Inflammation,aloe vera; yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use,['aloe vera yogurt'],aloe vera yogurt
302,Haircare,Hair Thinning,Curly,Excess Oil; Inflammation,onion juice; coconut oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,['onion juice coconut oil'],onion juice coconut oil
303,Haircare,Split Ends,All,Itching; Flaky Skin,curd; olive oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds,['curd olive oil'],curd olive oil
304,Skincare,Dark Circles,Combination,Dark Spots; Scalp Irritation,lemon juice; turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition,['lemon juice turmeric'],lemon juice turmeric
305,Skincare,Dark Circles,Sensitive,Dry Texture; Breakage,aloe vera; turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,['aloe vera turmeric'],aloe vera turmeric
306,Skincare,Oily Skin,Dry,Excess Oil; Dull Appearance,fenugreek seeds; gram flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,['fenugreek seeds gram flour'],fenugreek seeds gram flour
307,Skincare,Blackheads,Oily,Inflammation; Roughness,coconut oil; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application,['coconut oil banana'],coconut oil banana
308,Haircare,Dandruff,All,Itching; Dull Appearance,multani mitti; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application,['multani mitti onion juice'],multani mitti onion juice
309,Haircare,Hair Fall,Curly,Dull Appearance; Excess Oil,onion juice; green tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,['onion juice green tea'],onion juice green tea
310,Haircare,Dry Hair,Normal,Inflammation; Itching,banana; rose water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use,['banana rose water'],banana rose water
311,Skincare,Dull Skin,Dry,Dark Spots; Redness,egg yolk; yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application,['egg yolk yogurt'],egg yolk yogurt
312,Skincare,Sensitive Skin,All,Redness; Uneven Tone,egg yolk; multani mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds,['egg yolk multani mitti'],egg yolk multani mitti
313,Haircare,Oily Scalp,Normal,Redness; Excess Oil,aloe vera; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,['aloe vera onion juice'],aloe vera onion juice
314,Haircare,Oily Scalp,Straight,Redness; Dry Texture,potato juice; yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,['potato juice yogurt'],potato juice yogurt
315,Skincare,Wrinkles,Sensitive,Scalp Irritation; Dull Appearance,aloe vera; coconut oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use,['aloe vera coconut oil'],aloe vera coconut oil
316,Haircare,Split Ends,Oily,Excess Oil; Redness,papaya; honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,['papaya honey'],papaya honey
317,Skincare,Dull Skin,Sensitive,Inflammation; Roughness,green tea; rose water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs,['green tea rose water'],green tea rose water
318,Skincare,Whiteheads,Sensitive,Dark Spots; Scalp Irritation,coconut oil; green tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application,['coconut oil green tea'],coconut oil green tea
319,Skincare,Open Pores,Dry,Hair Shedding; Uneven Tone,lemon juice; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,['lemon juice egg yolk'],lemon juice egg yolk
320,Skincare,Rashes,Combination,Breakage; Roughness,olive oil; fenugreek seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs,['olive oil fenugreek seeds'],olive oil fenugreek seeds
321,Haircare,Split Ends,Oily,Roughness; Inflammation,olive oil; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application,['olive oil banana'],olive oil banana
322,Skincare,Dry Skin,Dry,Dull Appearance; Scalp Irritation,banana; neem powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application,['banana neem powder'],banana neem powder
323,Skincare,Dark Circles,Sensitive,Itching; Roughness,papaya; rose water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use,['papaya rose water'],papaya rose water
324,Haircare,Frizzy Hair,Curly,Redness; Scalp Irritation,castor oil; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use,['castor oil egg yolk'],castor oil egg yolk
325,Haircare,Oily Scalp,Straight,Scalp Irritation; Hair Shedding,neem powder; rose water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use,['neem powder rose water'],neem powder rose water
326,Skincare,Open Pores,Oily,Roughness; Redness,honey; papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,['honey papaya'],honey papaya
327,Haircare,Split Ends,Normal,Dark Spots; Flaky Skin,honey; potato juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application,['honey potato juice'],honey potato juice
328,Haircare,Dandruff,Oily,Redness; Dull Appearance,rose water; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application,['rose water egg yolk'],rose water egg yolk
329,Skincare,Open Pores,Sensitive,Redness; Breakage,fenugreek seeds; gram flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use,['fenugreek seeds gram flour'],fenugreek seeds gram flour
330,Haircare,Dry Hair,Straight,Inflammation; Redness,egg yolk; castor oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,['egg yolk castor oil'],egg yolk castor oil
331,Haircare,Itchy Scalp,Oily,Hair Shedding; Uneven Tone,egg yolk; olive oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['egg yolk olive oil'],egg yolk olive oil
332,Skincare,Sun Tan,All,Dry Texture; Excess Oil,neem powder; coconut oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,['neem powder coconut oil'],neem powder coconut oil
333,Skincare,Dull Skin,Sensitive,Breakage; Redness,fenugreek seeds; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs,['fenugreek seeds egg yolk'],fenugreek seeds egg yolk
334,Skincare,Dull Skin,Combination,Flaky Skin; Dry Texture,banana; coconut oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs,['banana coconut oil'],banana coconut oil
335,Skincare,Pigmentation,Oily,Roughness; Breakage,green tea; lemon juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,['green tea lemon juice'],green tea lemon juice
336,Skincare,Whiteheads,Oily,Hair Shedding; Dark Spots,rose water; yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['rose water yogurt'],rose water yogurt
337,Haircare,Oily Scalp,Curly,Uneven Tone; Roughness,fenugreek seeds; honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,['fenugreek seeds honey'],fenugreek seeds honey
338,Skincare,Wrinkles,Dry,Itching; Uneven Tone,neem powder; multani mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,['neem powder multani mitti'],neem powder multani mitti
339,Skincare,Dry Skin,Combination,Scalp Irritation; Dull Appearance,coconut oil; papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,['coconut oil papaya'],coconut oil papaya
340,Skincare,Rashes,Normal,Dull Appearance; Flaky Skin,honey; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,['honey curd'],honey curd
341,Haircare,Dandruff,All,Dark Spots; Breakage,honey; aloe vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition,['honey aloe vera'],honey aloe vera
342,Skincare,Pigmentation,Combination,Dark Spots; Scalp Irritation,castor oil; green tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,['castor oil green tea'],castor oil green tea
343,Haircare,Frizzy Hair,Normal,Uneven Tone; Itching,castor oil; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['castor oil banana'],castor oil banana
344,Skincare,Dry Skin,Oily,Uneven Tone; Itching,coconut oil; honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['coconut oil honey'],coconut oil honey
345,Haircare,Oily Scalp,Straight,Redness; Inflammation,egg yolk; lemon juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,['egg yolk lemon juice'],egg yolk lemon juice
346,Haircare,Hair Fall,Curly,Breakage; Dull Appearance,gram flour; yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs,['gram flour yogurt'],gram flour yogurt
347,Skincare,Sun Tan,Oily,Dull Appearance; Flaky Skin,castor oil; fenugreek seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition,['castor oil fenugreek seeds'],castor oil fenugreek seeds
348,Skincare,Acne,Dry,Uneven Tone; Itching,aloe vera; turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use,['aloe vera turmeric'],aloe vera turmeric
349,Skincare,Oily Skin,Oily,Scalp Irritation; Roughness,coconut oil; olive oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs,['coconut oil olive oil'],coconut oil olive oil
350,Haircare,Split Ends,Normal,Hair Shedding; Breakage,lemon juice; castor oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs,['lemon juice castor oil'],lemon juice castor oil
351,Haircare,Split Ends,All,Hair Shedding; Dull Appearance,olive oil; fenugreek seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,['olive oil fenugreek seeds'],olive oil fenugreek seeds
352,Skincare,Dull Skin,Normal,Flaky Skin; Redness,honey; green tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds,['honey green tea'],honey green tea
353,Haircare,Dry Hair,All,Inflammation; Dark Spots,banana; potato juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,['banana potato juice'],banana potato juice
354,Skincare,Open Pores,Sensitive,Breakage; Redness,coconut oil; neem powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition,['coconut oil neem powder'],coconut oil neem powder
355,Haircare,Premature Greying,Oily,Redness; Uneven Tone,yogurt; rose water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds,['yogurt rose water'],yogurt rose water
356,Skincare,Pigmentation,Sensitive,Scalp Irritation; Excess Oil,curd; honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds,['curd honey'],curd honey
357,Skincare,Dry Skin,Dry,Itching; Breakage,lemon juice; fenugreek seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,['lemon juice fenugreek seeds'],lemon juice fenugreek seeds
358,Skincare,Blackheads,Sensitive,Dark Spots; Itching,coconut oil; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application,['coconut oil onion juice'],coconut oil onion juice
359,Skincare,Dark Circles,Oily,Dry Texture; Flaky Skin,coconut oil; aloe vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds,['coconut oil aloe vera'],coconut oil aloe vera
360,Skincare,Rashes,Sensitive,Roughness; Dark Spots,neem powder; papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,['neem powder papaya'],neem powder papaya
361,Skincare,Whiteheads,Sensitive,Redness; Uneven Tone,potato juice; rose water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,['potato juice rose water'],potato juice rose water
