Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients,Concentrations,Effects,Ingredients_list,clean_Ingredients
25-36,Dry,Extreme Dry,No,Redness,General,green tea extract + chamomile extract + centella asiatica,3% + 0.5% + 8%,"Provides antioxidant and anti-inflammatory benefits, Calms redness and irritation, Soothes irritation and repairs skin barrier",['green tea extract  chamomile extract  centella asiatica'],green tea extract  chamomile extract  centella asiatica
25-36,Dry,Extreme Dry,No,Sun Tan,General,alpha arbutin + licorice extract + niacinamide,5% + 1% + 10%,"Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum",['alpha arbutin  licorice extract  niacinamide'],alpha arbutin  licorice extract  niacinamide
25-36,Dry,Extreme Dry,No,Whiteheads / Blackheads,General,glycolic acid + zinc pca + willow bark extract,0.5% + 8% + 2%,"Exfoliates dead skin cells and smooths skin, Controls sebum production, Naturally exfoliates and clears pores",['glycolic acid  zinc pca  willow bark extract'],glycolic acid  zinc pca  willow bark extract
25-36,Dry,Extreme Dry,No,Wrinkles,General,peptides + niacinamide + hyaluronic acid,0.5% + 10% + 2%,"Improves skin elasticity and firmness, Reduces inflammation and regulates sebum, Hydrates and plumps the skin",['peptides  niacinamide  hyaluronic acid'],peptides  niacinamide  hyaluronic acid
25-36,Oily,Oily to Normal,Yes,Acne,Comedonal,green tea extract + benzoyl peroxide + niacinamide,0.5% + 10% + 1%,"Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria, Reduces inflammation and regulates sebum",['green tea extract  benzoyl peroxide  niacinamide'],green tea extract  benzoyl peroxide  niacinamide
25-36,Oily,Oily to Normal,Yes,Acne,Inflammatory,niacinamide + azelaic acid + salicylic acid,1% + 5% + 3%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Unclogs pores and removes excess oil",['niacinamide  azelaic acid  salicylic acid'],niacinamide  azelaic acid  salicylic acid
25-36,Oily,Oily to Normal,Yes,Acne,Nodular,benzoyl peroxide + niacinamide + salicylic acid,3% + 10% + 2%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil",['benzoyl peroxide  niacinamide  salicylic acid'],benzoyl peroxide  niacinamide  salicylic acid
25-36,Oily,Oily to Normal,Yes,Acne,Cystic,niacinamide + benzoyl peroxide + salicylic acid,8% + 1% + 3%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Unclogs pores and removes excess oil",['niacinamide  benzoyl peroxide  salicylic acid'],niacinamide  benzoyl peroxide  salicylic acid
25-36,Oily,Oily to Normal,Yes,Dark Circles,Pigmented,niacinamide + hyaluronic acid + vitamin c,1% + 3% + 0.5%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Brightens skin and reduces pigmentation",['niacinamide  hyaluronic acid  vitamin c'],niacinamide  hyaluronic acid  vitamin c
25-36,Oily,Oily to Normal,Yes,Dark Circles,Vascular,vitamin k + vitamin c + hyaluronic acid,5% + 10% + 8%,"Improves blood circulation under eyes, Brightens skin and reduces pigmentation, Hydrates and plumps the skin",['vitamin k  vitamin c  hyaluronic acid'],vitamin k  vitamin c  hyaluronic acid
25-36,Oily,Oily to Normal,Yes,Dark Spots,General,vitamin c + niacinamide + alpha arbutin,5% + 8% + 3%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots",['vitamin c  niacinamide  alpha arbutin'],vitamin c  niacinamide  alpha arbutin
25-36,Oily,Oily to Normal,Yes,Dullness,General,vitamin c + lactic acid + hyaluronic acid,10% + 5% + 3%,"Brightens skin and reduces pigmentation, Gently exfoliates and improves skin radiance, Hydrates and plumps the skin",['vitamin c  lactic acid  hyaluronic acid'],vitamin c  lactic acid  hyaluronic acid
25-36,Oily,Oily to Normal,Yes,Hyperpigmentation,General,niacinamide + vitamin c + alpha arbutin,10% + 5% + 0.5%,"Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots",['niacinamide  vitamin c  alpha arbutin'],niacinamide  vitamin c  alpha arbutin
25-36,Oily,Oily to Normal,Yes,Open Pores,General,green tea extract + clay + azelaic acid,10% + 8% + 1%,"Provides antioxidant and anti-inflammatory benefits, Absorbs excess oil and tightens pores, Reduces acne and improves skin texture",['green tea extract  clay  azelaic acid'],green tea extract  clay  azelaic acid
25-36,Oily,Oily to Normal,Yes,Redness,General,centella asiatica + aloe vera + niacinamide,1% + 3% + 2%,"Soothes irritation and repairs skin barrier, Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum",['centella asiatica  aloe vera  niacinamide'],centella asiatica  aloe vera  niacinamide
25-36,Oily,Oily to Normal,Yes,Sun Tan,General,vitamin c + licorice extract + aloe vera,10% + 5% + 0.5%,"Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin",['vitamin c  licorice extract  aloe vera'],vitamin c  licorice extract  aloe vera
25-36,Oily,Oily to Normal,Yes,Whiteheads / Blackheads,General,niacinamide + salicylic acid + glycolic acid,8% + 5% + 1%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin",['niacinamide  salicylic acid  glycolic acid'],niacinamide  salicylic acid  glycolic acid
25-36,Oily,Oily to Normal,Yes,Wrinkles,General,coenzyme q10 + hyaluronic acid + retinol,0.5% + 3% + 1%,"Provides antioxidant protection and supports skin repair, Hydrates and plumps the skin, Stimulates collagen production and reduces wrinkles",['coenzyme q  hyaluronic acid  retinol'],coenzyme q  hyaluronic acid  retinol
25-36,Oily,Oily to Normal,No,Acne,Comedonal,green tea extract + zinc pca + salicylic acid,8% + 5% + 10%,"Provides antioxidant and anti-inflammatory benefits, Controls sebum production, Unclogs pores and removes excess oil",['green tea extract  zinc pca  salicylic acid'],green tea extract  zinc pca  salicylic acid
25-36,Oily,Oily to Normal,No,Acne,Inflammatory,zinc pca + azelaic acid + salicylic acid,0.5% + 3% + 2%,"Controls sebum production, Reduces acne and improves skin texture, Unclogs pores and removes excess oil",['zinc pca  azelaic acid  salicylic acid'],zinc pca  azelaic acid  salicylic acid
25-36,Oily,Oily to Normal,No,Acne,Nodular,benzoyl peroxide + green tea extract + salicylic acid,5% + 2% + 3%,"Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil",['benzoyl peroxide  green tea extract  salicylic acid'],benzoyl peroxide  green tea extract  salicylic acid
25-36,Oily,Oily to Normal,No,Acne,Cystic,benzoyl peroxide + zinc pca + niacinamide,2% + 3% + 8%,"Kills acne-causing bacteria, Controls sebum production, Reduces inflammation and regulates sebum",['benzoyl peroxide  zinc pca  niacinamide'],benzoyl peroxide  zinc pca  niacinamide
25-36,Oily,Oily to Normal,No,Dark Circles,Pigmented,niacinamide + licorice extract + vitamin k,3% + 0.5% + 1%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Improves blood circulation under eyes",['niacinamide  licorice extract  vitamin k'],niacinamide  licorice extract  vitamin k
25-36,Oily,Oily to Normal,No,Dark Circles,Vascular,hyaluronic acid + niacinamide + vitamin c,0.5% + 3% + 8%,"Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation",['hyaluronic acid  niacinamide  vitamin c'],hyaluronic acid  niacinamide  vitamin c
25-36,Oily,Oily to Normal,No,Dark Spots,General,niacinamide + kojic acid + licorice extract,8% + 5% + 2%,"Reduces inflammation and regulates sebum, Lightens pigmentation and skin discoloration, Lightens dark spots and evens skin tone",['niacinamide  kojic acid  licorice extract'],niacinamide  kojic acid  licorice extract
25-36,Oily,Oily to Normal,No,Dullness,General,niacinamide + hyaluronic acid + green tea extract,10% + 2% + 0.5%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Provides antioxidant and anti-inflammatory benefits",['niacinamide  hyaluronic acid  green tea extract'],niacinamide  hyaluronic acid  green tea extract
25-36,Oily,Oily to Normal,No,Hyperpigmentation,General,alpha arbutin + licorice extract + vitamin c,8% + 1% + 0.5%,"Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation",['alpha arbutin  licorice extract  vitamin c'],alpha arbutin  licorice extract  vitamin c
25-36,Oily,Oily to Normal,No,Open Pores,General,salicylic acid + green tea extract + clay,0.5% + 1% + 3%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Absorbs excess oil and tightens pores",['salicylic acid  green tea extract  clay'],salicylic acid  green tea extract  clay
25-36,Oily,Oily to Normal,No,Redness,General,aloe vera + chamomile extract + niacinamide,2% + 3% + 1%,"Soothes and hydrates irritated skin, Calms redness and irritation, Reduces inflammation and regulates sebum",['aloe vera  chamomile extract  niacinamide'],aloe vera  chamomile extract  niacinamide
25-36,Oily,Oily to Normal,No,Sun Tan,General,aloe vera + niacinamide + licorice extract,1% + 3% + 5%,"Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone",['aloe vera  niacinamide  licorice extract'],aloe vera  niacinamide  licorice extract
25-36,Oily,Oily to Normal,No,Whiteheads / Blackheads,General,niacinamide + willow bark extract + glycolic acid,0.5% + 1% + 3%,"Reduces inflammation and regulates sebum, Naturally exfoliates and clears pores, Exfoliates dead skin cells and smooths skin",['niacinamide  willow bark extract  glycolic acid'],niacinamide  willow bark extract  glycolic acid
25-36,Oily,Oily to Normal,No,Wrinkles,General,retinol + coenzyme q10 + niacinamide,0.5% + 1% + 2%,"Stimulates collagen production and reduces wrinkles, Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum",['retinol  coenzyme q  niacinamide'],retinol  coenzyme q  niacinamide
25-36,Oily,Extreme Oily,Yes,Acne,Comedonal,zinc pca + niacinamide + salicylic acid,10% + 0.5% + 1%,"Controls sebum production, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil",['zinc pca  niacinamide  salicylic acid'],zinc pca  niacinamide  salicylic acid
25-36,Oily,Extreme Oily,Yes,Acne,Inflammatory,salicylic acid + green tea extract + benzoyl peroxide,10% + 2% + 3%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria",['salicylic acid  green tea extract  benzoyl peroxide'],salicylic acid  green tea extract  benzoyl peroxide
25-36,Oily,Extreme Oily,Yes,Acne,Nodular,niacinamide + benzoyl peroxide + salicylic acid,8% + 5% + 3%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Unclogs pores and removes excess oil",['niacinamide  benzoyl peroxide  salicylic acid'],niacinamide  benzoyl peroxide  salicylic acid
25-36,Oily,Extreme Oily,Yes,Acne,Cystic,azelaic acid + green tea extract + niacinamide,2% + 5% + 3%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum",['azelaic acid  green tea extract  niacinamide'],azelaic acid  green tea extract  niacinamide
25-36,Oily,Extreme Oily,Yes,Dark Circles,Pigmented,vitamin c + vitamin k + niacinamide,3% + 10% + 0.5%,"Brightens skin and reduces pigmentation, Improves blood circulation under eyes, Reduces inflammation and regulates sebum",['vitamin c  vitamin k  niacinamide'],vitamin c  vitamin k  niacinamide
25-36,Oily,Extreme Oily,Yes,Dark Circles,Vascular,caffeine + niacinamide + licorice extract,0.5% + 5% + 1%,"Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone",['caffeine  niacinamide  licorice extract'],caffeine  niacinamide  licorice extract
25-36,Oily,Extreme Oily,Yes,Dark Spots,General,niacinamide + licorice extract + kojic acid,2% + 1% + 5%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Lightens pigmentation and skin discoloration",['niacinamide  licorice extract  kojic acid'],niacinamide  licorice extract  kojic acid
25-36,Oily,Extreme Oily,Yes,Dullness,General,hyaluronic acid + niacinamide + vitamin c,8% + 1% + 3%,"Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation",['hyaluronic acid  niacinamide  vitamin c'],hyaluronic acid  niacinamide  vitamin c
25-36,Oily,Extreme Oily,Yes,Hyperpigmentation,General,vitamin c + tranexamic acid + niacinamide,0.5% + 10% + 5%,"Brightens skin and reduces pigmentation, Reduces melanin production and pigmentation, Reduces inflammation and regulates sebum",['vitamin c  tranexamic acid  niacinamide'],vitamin c  tranexamic acid  niacinamide
25-36,Oily,Extreme Oily,Yes,Open Pores,General,salicylic acid + clay + azelaic acid,3% + 2% + 5%,"Unclogs pores and removes excess oil, Absorbs excess oil and tightens pores, Reduces acne and improves skin texture",['salicylic acid  clay  azelaic acid'],salicylic acid  clay  azelaic acid
25-36,Oily,Extreme Oily,Yes,Redness,General,centella asiatica + aloe vera + niacinamide,1% + 5% + 2%,"Soothes irritation and repairs skin barrier, Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum",['centella asiatica  aloe vera  niacinamide'],centella asiatica  aloe vera  niacinamide
25-36,Oily,Extreme Oily,Yes,Sun Tan,General,licorice extract + aloe vera + niacinamide,8% + 2% + 10%,"Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum",['licorice extract  aloe vera  niacinamide'],licorice extract  aloe vera  niacinamide
25-36,Oily,Extreme Oily,Yes,Whiteheads / Blackheads,General,glycolic acid + salicylic acid + niacinamide,1% + 0.5% + 3%,"Exfoliates dead skin cells and smooths skin, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum",['glycolic acid  salicylic acid  niacinamide'],glycolic acid  salicylic acid  niacinamide
25-36,Oily,Extreme Oily,Yes,Wrinkles,General,hyaluronic acid + peptides + retinol,0.5% + 3% + 10%,"Hydrates and plumps the skin, Improves skin elasticity and firmness, Stimulates collagen production and reduces wrinkles",['hyaluronic acid  peptides  retinol'],hyaluronic acid  peptides  retinol
25-36,Oily,Extreme Oily,No,Acne,Comedonal,azelaic acid + salicylic acid + green tea extract,8% + 3% + 2%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits",['azelaic acid  salicylic acid  green tea extract'],azelaic acid  salicylic acid  green tea extract
25-36,Oily,Extreme Oily,No,Acne,Inflammatory,salicylic acid + niacinamide + zinc pca,1% + 3% + 5%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Controls sebum production",['salicylic acid  niacinamide  zinc pca'],salicylic acid  niacinamide  zinc pca
25-36,Oily,Extreme Oily,No,Acne,Nodular,niacinamide + benzoyl peroxide + green tea extract,8% + 5% + 1%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits",['niacinamide  benzoyl peroxide  green tea extract'],niacinamide  benzoyl peroxide  green tea extract
25-36,Oily,Extreme Oily,No,Acne,Cystic,green tea extract + benzoyl peroxide + azelaic acid,5% + 10% + 8%,"Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria, Reduces acne and improves skin texture",['green tea extract  benzoyl peroxide  azelaic acid'],green tea extract  benzoyl peroxide  azelaic acid
25-36,Oily,Extreme Oily,No,Dark Circles,Pigmented,licorice extract + caffeine + niacinamide,3% + 1% + 8%,"Lightens dark spots and evens skin tone, Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum",['licorice extract  caffeine  niacinamide'],licorice extract  caffeine  niacinamide
25-36,Oily,Extreme Oily,No,Dark Circles,Vascular,vitamin c + caffeine + hyaluronic acid,10% + 3% + 2%,"Brightens skin and reduces pigmentation, Reduces puffiness and improves circulation, Hydrates and plumps the skin",['vitamin c  caffeine  hyaluronic acid'],vitamin c  caffeine  hyaluronic acid
25-36,Oily,Extreme Oily,No,Dark Spots,General,alpha arbutin + vitamin c + niacinamide,10% + 1% + 5%,"Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum",['alpha arbutin  vitamin c  niacinamide'],alpha arbutin  vitamin c  niacinamide
25-36,Oily,Extreme Oily,No,Dullness,General,niacinamide + green tea extract + lactic acid,8% + 3% + 10%,"Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance",['niacinamide  green tea extract  lactic acid'],niacinamide  green tea extract  lactic acid
25-36,Oily,Extreme Oily,No,Hyperpigmentation,General,niacinamide + vitamin c + tranexamic acid,0.5% + 8% + 3%,"Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation, Reduces melanin production and pigmentation",['niacinamide  vitamin c  tranexamic acid'],niacinamide  vitamin c  tranexamic acid
25-36,Oily,Extreme Oily,No,Open Pores,General,salicylic acid + niacinamide + green tea extract,10% + 3% + 8%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits",['salicylic acid  niacinamide  green tea extract'],salicylic acid  niacinamide  green tea extract
25-36,Oily,Extreme Oily,No,Redness,General,centella asiatica + aloe vera + green tea extract,8% + 10% + 5%,"Soothes irritation and repairs skin barrier, Soothes and hydrates irritated skin, Provides antioxidant and anti-inflammatory benefits",['centella asiatica  aloe vera  green tea extract'],centella asiatica  aloe vera  green tea extract
25-36,Oily,Extreme Oily,No,Sun Tan,General,vitamin c + niacinamide + aloe vera,8% + 3% + 0.5%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin",['vitamin c  niacinamide  aloe vera'],vitamin c  niacinamide  aloe vera
25-36,Oily,Extreme Oily,No,Whiteheads / Blackheads,General,glycolic acid + willow bark extract + zinc pca,3% + 2% + 5%,"Exfoliates dead skin cells and smooths skin, Naturally exfoliates and clears pores, Controls sebum production",['glycolic acid  willow bark extract  zinc pca'],glycolic acid  willow bark extract  zinc pca
25-36,Oily,Extreme Oily,No,Wrinkles,General,hyaluronic acid + niacinamide + peptides,8% + 3% + 10%,"Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Improves skin elasticity and firmness",['hyaluronic acid  niacinamide  peptides'],hyaluronic acid  niacinamide  peptides
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Comedonal,azelaic acid + salicylic acid + niacinamide,0.5% + 10% + 5%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum",['azelaic acid  salicylic acid  niacinamide'],azelaic acid  salicylic acid  niacinamide
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Inflammatory,zinc pca + green tea extract + benzoyl peroxide,2% + 5% + 10%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria",['zinc pca  green tea extract  benzoyl peroxide'],zinc pca  green tea extract  benzoyl peroxide
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Nodular,azelaic acid + benzoyl peroxide + niacinamide,10% + 1% + 3%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Reduces inflammation and regulates sebum",['azelaic acid  benzoyl peroxide  niacinamide'],azelaic acid  benzoyl peroxide  niacinamide
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Cystic,niacinamide + salicylic acid + azelaic acid,3% + 1% + 5%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Reduces acne and improves skin texture",['niacinamide  salicylic acid  azelaic acid'],niacinamide  salicylic acid  azelaic acid
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Dark Circles,Pigmented,niacinamide + caffeine + vitamin c,5% + 8% + 3%,"Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation, Brightens skin and reduces pigmentation",['niacinamide  caffeine  vitamin c'],niacinamide  caffeine  vitamin c
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Dark Circles,Vascular,niacinamide + hyaluronic acid + vitamin k,0.5% + 8% + 3%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Improves blood circulation under eyes",['niacinamide  hyaluronic acid  vitamin k'],niacinamide  hyaluronic acid  vitamin k
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Dark Spots,General,licorice extract + alpha arbutin + kojic acid,2% + 3% + 10%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration",['licorice extract  alpha arbutin  kojic acid'],licorice extract  alpha arbutin  kojic acid
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Dullness,General,green tea extract + hyaluronic acid + vitamin c,3% + 8% + 1%,"Provides antioxidant and anti-inflammatory benefits, Hydrates and plumps the skin, Brightens skin and reduces pigmentation",['green tea extract  hyaluronic acid  vitamin c'],green tea extract  hyaluronic acid  vitamin c
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Hyperpigmentation,General,tranexamic acid + vitamin c + licorice extract,2% + 3% + 8%,"Reduces melanin production and pigmentation, Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone",['tranexamic acid  vitamin c  licorice extract'],tranexamic acid  vitamin c  licorice extract
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Open Pores,General,green tea extract + azelaic acid + clay,10% + 2% + 0.5%,"Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture, Absorbs excess oil and tightens pores",['green tea extract  azelaic acid  clay'],green tea extract  azelaic acid  clay
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Redness,General,aloe vera + centella asiatica + green tea extract,5% + 0.5% + 1%,"Soothes and hydrates irritated skin, Soothes irritation and repairs skin barrier, Provides antioxidant and anti-inflammatory benefits",['aloe vera  centella asiatica  green tea extract'],aloe vera  centella asiatica  green tea extract
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Sun Tan,General,licorice extract + aloe vera + alpha arbutin,8% + 1% + 3%,"Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots",['licorice extract  aloe vera  alpha arbutin'],licorice extract  aloe vera  alpha arbutin
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Whiteheads / Blackheads,General,niacinamide + salicylic acid + willow bark extract,10% + 0.5% + 8%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Naturally exfoliates and clears pores",['niacinamide  salicylic acid  willow bark extract'],niacinamide  salicylic acid  willow bark extract
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Wrinkles,General,retinol + peptides + coenzyme q10,3% + 0.5% + 2%,"Stimulates collagen production and reduces wrinkles, Improves skin elasticity and firmness, Provides antioxidant protection and supports skin repair",['retinol  peptides  coenzyme q'],retinol  peptides  coenzyme q
25-36,Combination,T-Zone Oily Cheeks Dry,No,Acne,Comedonal,azelaic acid + green tea extract + salicylic acid,2% + 1% + 3%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil",['azelaic acid  green tea extract  salicylic acid'],azelaic acid  green tea extract  salicylic acid
25-36,Combination,T-Zone Oily Cheeks Dry,No,Acne,Inflammatory,benzoyl peroxide + niacinamide + azelaic acid,5% + 3% + 0.5%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture",['benzoyl peroxide  niacinamide  azelaic acid'],benzoyl peroxide  niacinamide  azelaic acid
25-36,Combination,T-Zone Oily Cheeks Dry,No,Acne,Nodular,zinc pca + azelaic acid + salicylic acid,5% + 10% + 0.5%,"Controls sebum production, Reduces acne and improves skin texture, Unclogs pores and removes excess oil",['zinc pca  azelaic acid  salicylic acid'],zinc pca  azelaic acid  salicylic acid
25-36,Combination,T-Zone Oily Cheeks Dry,No,Acne,Cystic,azelaic acid + benzoyl peroxide + niacinamide,2% + 8% + 10%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Reduces inflammation and regulates sebum",['azelaic acid  benzoyl peroxide  niacinamide'],azelaic acid  benzoyl peroxide  niacinamide
25-36,Combination,T-Zone Oily Cheeks Dry,No,Dark Circles,Pigmented,caffeine + vitamin c + hyaluronic acid,0.5% + 3% + 1%,"Reduces puffiness and improves circulation, Brightens skin and reduces pigmentation, Hydrates and plumps the skin",['caffeine  vitamin c  hyaluronic acid'],caffeine  vitamin c  hyaluronic acid
25-36,Combination,T-Zone Oily Cheeks Dry,No,Dark Circles,Vascular,hyaluronic acid + licorice extract + vitamin k,2% + 5% + 1%,"Hydrates and plumps the skin, Lightens dark spots and evens skin tone, Improves blood circulation under eyes",['hyaluronic acid  licorice extract  vitamin k'],hyaluronic acid  licorice extract  vitamin k
25-36,Combination,T-Zone Oily Cheeks Dry,No,Dark Spots,General,vitamin c + niacinamide + licorice extract,2% + 1% + 5%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone",['vitamin c  niacinamide  licorice extract'],vitamin c  niacinamide  licorice extract
25-36,Combination,T-Zone Oily Cheeks Dry,No,Dullness,General,green tea extract + hyaluronic acid + niacinamide,5% + 2% + 0.5%,"Provides antioxidant and anti-inflammatory benefits, Hydrates and plumps the skin, Reduces inflammation and regulates sebum",['green tea extract  hyaluronic acid  niacinamide'],green tea extract  hyaluronic acid  niacinamide
25-36,Combination,T-Zone Oily Cheeks Dry,No,Hyperpigmentation,General,niacinamide + tranexamic acid + alpha arbutin,2% + 3% + 5%,"Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation, Reduces hyperpigmentation and dark spots",['niacinamide  tranexamic acid  alpha arbutin'],niacinamide  tranexamic acid  alpha arbutin
25-36,Combination,T-Zone Oily Cheeks Dry,No,Open Pores,General,niacinamide + salicylic acid + azelaic acid,2% + 0.5% + 8%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Reduces acne and improves skin texture",['niacinamide  salicylic acid  azelaic acid'],niacinamide  salicylic acid  azelaic acid
25-36,Combination,T-Zone Oily Cheeks Dry,No,Redness,General,green tea extract + niacinamide + chamomile extract,8% + 2% + 0.5%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Calms redness and irritation",['green tea extract  niacinamide  chamomile extract'],green tea extract  niacinamide  chamomile extract
25-36,Combination,T-Zone Oily Cheeks Dry,No,Sun Tan,General,alpha arbutin + aloe vera + licorice extract,1% + 8% + 0.5%,"Reduces hyperpigmentation and dark spots, Soothes and hydrates irritated skin, Lightens dark spots and evens skin tone",['alpha arbutin  aloe vera  licorice extract'],alpha arbutin  aloe vera  licorice extract
25-36,Combination,T-Zone Oily Cheeks Dry,No,Whiteheads / Blackheads,General,salicylic acid + zinc pca + glycolic acid,3% + 1% + 5%,"Unclogs pores and removes excess oil, Controls sebum production, Exfoliates dead skin cells and smooths skin",['salicylic acid  zinc pca  glycolic acid'],salicylic acid  zinc pca  glycolic acid
25-36,Combination,T-Zone Oily Cheeks Dry,No,Wrinkles,General,hyaluronic acid + retinol + coenzyme q10,8% + 2% + 5%,"Hydrates and plumps the skin, Stimulates collagen production and reduces wrinkles, Provides antioxidant protection and supports skin repair",['hyaluronic acid  retinol  coenzyme q'],hyaluronic acid  retinol  coenzyme q
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Comedonal,niacinamide + salicylic acid + zinc pca,5% + 1% + 10%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Controls sebum production",['niacinamide  salicylic acid  zinc pca'],niacinamide  salicylic acid  zinc pca
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Inflammatory,benzoyl peroxide + niacinamide + zinc pca,5% + 8% + 3%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Controls sebum production",['benzoyl peroxide  niacinamide  zinc pca'],benzoyl peroxide  niacinamide  zinc pca
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Nodular,salicylic acid + benzoyl peroxide + green tea extract,2% + 5% + 10%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits",['salicylic acid  benzoyl peroxide  green tea extract'],salicylic acid  benzoyl peroxide  green tea extract
